selected_index,function,varname,units,Description
Mean Temperature,"ds.tas.resample(time=""MS"").mean(dim=""time"")",tasavg,°C,Average Temperature
Total Precipitation, xclim.indices.precip_accumulation,pr,mm,Total Precipitation
Daily Temperature Range,xclim.indicators.atmos.daily_temperature_range,dtr,°C,Mean diurnal temperature range
Simple Precip Intensity Index (SPII),xclim.indicators.atmos.daily_pr_intensity,sdii,mm/dy,Simple Daily Intensity Index (SDII) or average precipitation for days with daily precipitation over 1 mm.
Dry Spell Frequency,xclim.indicators.atmos.dry_spell_frequency,dry_spell_frequency,# of periods,"The number of dry periods of 5 day or more, during which the total precipitation on a window of 3 day(s) is below 1 mm"
Dry Spell Max Length,xclim.indicators.atmos.dry_spell_max_length,dry_spell_max_length,days,"Maximum consecutive number of days in a dry period, during which the total daily precipitation is under 1 mm."
Dry Spell Total Length,xclim.indicators.atmos.dry_spell_total_length,dry_spell_total_length,days,"The total length of dry spell events occurring within a given period. A dry spell occurs when daily total preciputation is under 1 mm, over at least 3 days."
Wet Spell Frequency,xclim.indicators.atmos.wet_spell_frequency,wet_spell_frequency,# of periods,"The number of wet periods of 5 day or more, during which the total precipitation on a window of 3 day(s) is above 1 mm"
Wet Spell Max Length,xclim.indicators.atmos.wet_spell_max_length,wet_spell_max_length,days,"Maximum consecutive number of days in a wet period, during which the total daily precipitation is over 1 mm."
Wet Spell Total Length,xclim.indicators.atmos.wet_spell_total_length,wet_spell_total_length,days,"The total length of wet spell events occurring within a given period. A wet spell occurs when daily total preciputation is over 1 mm, over at least 3 days."
Heat Wave Frequency,xclim.indicators.atmos.heat_wave_frequency,heat_wave_frequency,# of periods,"The number of heat wave events within a given period. A heat wave occurs when daily minimum and maximum temperatures exceed 22 °C and 30 °C, respectively, over at least 3 days."
Heat Wave Max Length,xclim.indicators.atmos.heat_wave_max_length,heat_wave_max_length,days,"The maximum length of heat wave events occurring within a given period. A heat wave occurs when daily minimum and maximum temperatures exceed 22 °C and 30 °C, respectively, over at least 3 days."
Heat Wave Total Length,xclim.indicators.atmos.heat_wave_total_length,heat_wave_total_length,days,"The total length of heat wave events occurring within a given period. A heat wave occurs when daily minimum and maximum temperatures exceed 22 °C and 30 °C, respectively, over at least 3 days."
7-day Anticedant Precipitation Index,xclim.indicators.atmos.antecedent_precipitation_index,api,mm,Weighted moving sum of daily precipitation totals with a 7-day window. Weights are an exponential decay of base 0.935.
Cooling Degree Days,xclim.indicators.atmos.cooling_degree_days,cooling_degree_days,CDDs,Cumulative sum of temperature degrees for mean daily temperature above 65 °F
Heating Degree Days,xclim.indicators.atmos.heating_degree_days,heating_degree_days,HDDs,Cumulative sum of temperature degrees for daily temperatures below 65 °F
Growing Degree Days,xclim.indicators.atmos.growing_degree_days,growing_degree_days,GDDs,Cumulative sum of temperature degrees for mean daily temperature above 4 °C 
Corn Heat Units,xclim.indicators.atmos.corn_heat_units,chu,CHUs,"Corn heat units (Tmin > 40 °F and Tmax > 50 °F, with additional attributes"
Freeze-Thaw Days,xclim.indicators.atmos.daily_freezethaw_cycles,dlyfrzthw,days,Number of days where maximum daily temperatures are above freezing and minimum daily temperatures are at or below freezing
Wetting Rain Days,xclim.indicators.atmos.days_over_precip_doy_thresh,days_over_precip_doy_thresh,days,Number of days with daily precipitation flux above the 95th daily percentile for the 1981-2010 period
Cold and Dry Days,xclim.indicators.atmos.cold_and_dry_days,cold_and_dry_days,days,Number of days where temperature is below 5th daily percentile and precipitation is below 5th daily percentile for the 1981-2010 period
Cold and Wet Days,xclim.indicators.atmos.cold_and_wet_days,cold_and_wet_days,days,Number of days where temperature is below 5th daily percentile and precipitation is above 95th daily percentile for the 1981-2010 period
Warm and Dry Days,xclim.indicators.atmos.warm_and_dry_days,warm_and_dry_days,days,Number of days where temperature is below 95th daily percentile and precipitation is below 5th daily percentile for the 1981-2010 period
Warm and Wet Days,xclim.indicators.atmos.warm_and_wet_days,warm_and_wet_days,days,Number of days where temperature is below 95th daily percentile and precipitation is above 95th daily percentile for the 1981-2010 period